id,recipe_name,prep_time_ai,cook_time_ai,time_source
197,Gỏi trộn khô mực,30,20,gemini-3.1-flash-lite-preview_estimate
198,Gỏi rau mầm tôm,20,15,gemini-3.1-flash-lite-preview_estimate
199,Cơm gà,25,45,gemini-3.1-flash-lite-preview_estimate
200,Gỏi ớt chuông cần tây,25,15,gemini-3.1-flash-lite-preview_estimate
201,Gỏi mực cay,30,10,gemini-3.1-flash-lite-preview_estimate
202,Miến trộn cua lột,35,20,gemini-3.1-flash-lite-preview_estimate
203,Gỏi củ sen,30,15,gemini-3.1-flash-lite-preview_estimate
204,Gỏi hải sản rau nhút,35,15,gemini-3.1-flash-lite-preview_estimate
205,Nộm hoa chuối hải sản,30,20,gemini-3.1-flash-lite-preview_estimate
206,Salad bí ngòi,20,15,gemini-3.1-flash-lite-preview_estimate
207,Gỏi củ kiệu,25,10,gemini-3.1-flash-lite-preview_estimate
208,Gỏi cuốn tôm chiên,30,15,gemini-3.1-flash-lite-preview_estimate
209,Gỏi miến thịt bằm,20,10,gemini-3.1-flash-lite-preview_estimate
210,Gỏi đu đủ khô cá lóc,25,10,gemini-3.1-flash-lite-preview_estimate
211,Gỏi râu mực chiên giòn,15,15,gemini-3.1-flash-lite-preview_estimate
212,Bánh mì thịt nguội bắp cải,15,5,gemini-3.1-flash-lite-preview_estimate
213,Hoa thiên lý trộn mực xé,20,10,gemini-3.1-flash-lite-preview_estimate
214,Gỏi bông bí,25,10,gemini-3.1-flash-lite-preview_estimate
215,Rau càng cua trộn cá mòi,15,10,gemini-3.1-flash-lite-preview_estimate
216,Salad cá hồi xông khói,15,5,gemini-3.1-flash-lite-preview_estimate
217,Gỏi thập cẩm cá hồi,20,15,gemini-3.1-flash-lite-preview_estimate
218,Cá cuộn rong biển,20,15,gemini-3.1-flash-lite-preview_estimate
219,Gỏi trứng chiên,25,10,gemini-3.1-flash-lite-preview_estimate
220,Gà chiên trộn xốt ngọt Mayonnaise,20,20,gemini-3.1-flash-lite-preview_estimate
221,Salad ngũ sắc,20,15,gemini-3.1-flash-lite-preview_estimate
222,Gỏi rau má,25,15,gemini-3.1-flash-lite-preview_estimate
223,Salad củ sen khoai tây,30,20,gemini-3.1-flash-lite-preview_estimate
224,Bánh mì kẹp thịt gà,20,25,gemini-3.1-flash-lite-preview_estimate
225,Tôm trộn bông cải,15,10,gemini-3.1-flash-lite-preview_estimate
226,Salad su su,15,10,gemini-3.1-flash-lite-preview_estimate
227,Bắp vàng trộn xúc xích,15,10,gemini-3.1-flash-lite-preview_estimate
228,Gỏi khổ qua,30,20,gemini-3.1-flash-lite-preview_estimate
229,Nui trộn cá ngừ,15,15,gemini-3.1-flash-lite-preview_estimate
230,Salad trái cây,20,0,gemini-3.1-flash-lite-preview_estimate
231,Gỏi rau nước tương,25,10,gemini-3.1-flash-lite-preview_estimate
232,Gỏi gà rau răm,20,25,gemini-3.1-flash-lite-preview_estimate
233,Salad nui cá hồi,15,10,gemini-3.1-flash-lite-preview_estimate
234,Gỏi vịt rau rừng,25,30,gemini-3.1-flash-lite-preview_estimate
235,Gỏi rau cần thịt bò,20,10,gemini-3.1-flash-lite-preview_estimate
236,Bánh mì cuộn cá hộp,20,15,gemini-3.1-flash-lite-preview_estimate
237,Gỏi sò huyết nấm tuyết,30,10,gemini-3.1-flash-lite-preview_estimate
238,Salad thịt gà trộn táo đỏ,15,5,gemini-3.1-flash-lite-preview_estimate
239,Cải thảo gói tôm thịt,25,25,gemini-3.1-flash-lite-preview_estimate
240,Đậu trộn xà lách,15,10,gemini-3.1-flash-lite-preview_estimate
241,Gỏi rong biển,20,15,gemini-3.1-flash-lite-preview_estimate
242,Gỏi bưởi bắp cải gà xé,25,15,gemini-3.1-flash-lite-preview_estimate
243,Salad Nga,20,15,gemini-3.1-flash-lite-preview_estimate
244,Mực trộn khổ qua chua ngọt,20,10,gemini-3.1-flash-lite-preview_estimate
245,Rau càng cua trộn tôm,25,45,gemini-3.1-flash-lite-preview_estimate
246,Gỏi su hào,30,20,gemini-3.1-flash-lite-preview_estimate
247,Heo thấu,25,20,gemini-3.1-flash-lite-preview_estimate
248,Lòng heo trộn riềng sả,30,20,gemini-3.1-flash-lite-preview_estimate
249,Gỏi bưởi,35,15,gemini-3.1-flash-lite-preview_estimate
250,Gỏi thịt bò trộn rau,20,10,gemini-3.1-flash-lite-preview_estimate
251,Khai vị cá hồi táo trộn,20,15,gemini-3.1-flash-lite-preview_estimate
252,Bầu non trộn heo quay,15,10,gemini-3.1-flash-lite-preview_estimate
253,Khoai tây trộn Mayonnaise,25,20,gemini-3.1-flash-lite-preview_estimate
254,Gỏi hải sản phương Đông,30,15,gemini-3.1-flash-lite-preview_estimate
255,Lưỡi heo trộn chua ngọt,40,30,gemini-3.1-flash-lite-preview_estimate
256,Mì gói trộn,15,10,gemini-3.1-flash-lite-preview_estimate
257,Gỏi cải thảo,20,5,gemini-3.1-flash-lite-preview_estimate
258,Mì xào trộn mayonnaise,25,15,gemini-3.1-flash-lite-preview_estimate
259,Bún thịt nướng mayonnaise,35,20,gemini-3.1-flash-lite-preview_estimate
260,Salad rau củ trộn xốt mayonnaise,15,10,gemini-3.1-flash-lite-preview_estimate
261,Salad khoai tây thịt gà,20,15,gemini-3.1-flash-lite-preview_estimate
262,Salad khoai trộn thịt bò,25,15,gemini-3.1-flash-lite-preview_estimate
263,Salad dầu giấm trộn Mayonnaise,15,0,gemini-3.1-flash-lite-preview_estimate
264,Gỏi xoài tôm,25,10,gemini-3.1-flash-lite-preview_estimate
265,Salad trộn thịt bò,40,15,gemini-3.1-flash-lite-preview_estimate
266,Nui trộn cá hồi nướng Mayonnaise,20,25,gemini-3.1-flash-lite-preview_estimate
267,Salad kiểu Ý,15,10,gemini-3.1-flash-lite-preview_estimate
268,Bò lá lốt mayonnaise,25,15,gemini-3.1-flash-lite-preview_estimate
269,Salad trái bơ,25,15,gemini-3.1-flash-lite-preview_estimate
270,Salad tự chọn,20,15,gemini-3.1-flash-lite-preview_estimate
271,Salad bông cải thịt nguội,20,10,gemini-3.1-flash-lite-preview_estimate
272,Mít non trộn đậu hũ ky,25,15,gemini-3.1-flash-lite-preview_estimate
273,Gỏi cá kèo,20,15,gemini-3.1-flash-lite-preview_estimate
274,Gỏi nấm,20,15,gemini-3.1-flash-lite-preview_estimate
275,Cải làn trộn Mayonnaise,20,15,gemini-3.1-flash-lite-preview_estimate
276,Thịt bò trộn rau muống chẻ,30,10,gemini-3.1-flash-lite-preview_estimate
277,Gỏi rau mầm,20,15,gemini-3.1-flash-lite-preview_estimate
278,Gỏi cuốn Mayonnaise,20,0,gemini-3.1-flash-lite-preview_estimate
279,Hến trộn hoa chuối,40,15,gemini-3.1-flash-lite-preview_estimate
280,Gỏi mực bắp cải,30,5,gemini-3.1-flash-lite-preview_estimate
281,Vịt quay trộn cần tây,20,5,gemini-3.1-flash-lite-preview_estimate
282,Gỏi bắp bò hoa,45,15,gemini-3.1-flash-lite-preview_estimate
283,Salad bắp tôm,15,10,gemini-3.1-flash-lite-preview_estimate
284,Gỏi rau muống chiên giòn,25,15,gemini-3.1-flash-lite-preview_estimate
285,Thịt bò trộn ngũ sắc,20,10,gemini-3.1-flash-lite-preview_estimate
286,Salad bánh đa tôm,20,10,gemini-3.1-flash-lite-preview_estimate
287,Gỏi bao tử cá basa,30,15,gemini-3.1-flash-lite-preview_estimate
288,Salad bưởi trộn bơ,20,10,gemini-3.1-flash-lite-preview_estimate
289,Gỏi sứa rau thơm,35,5,gemini-3.1-flash-lite-preview_estimate
290,Gỏi bắp bò rau thơm,30,25,gemini-3.1-flash-lite-preview_estimate
291,Salad chip chip,25,15,gemini-3.1-flash-lite-preview_estimate
292,Gỏi chân gà tôm chua,20,10,gemini-3.1-flash-lite-preview_estimate
293,Salad măng cụt,30,10,gemini-3.1-flash-lite-preview_estimate
294,Salad dưa leo thịt gà,20,15,gemini-3.1-flash-lite-preview_estimate
295,Gỏi thanh long,25,10,gemini-3.1-flash-lite-preview_estimate
296,Gỏi dưa leo khô cá,30,15,gemini-3.1-flash-lite-preview_estimate
297,Gỏi bông thiên lý chay,45,20,gemini-3.1-flash-lite-preview_estimate
298,Gỏi đu đủ ba khía,25,10,gemini-3.1-flash-lite-preview_estimate
299,Gỏi xoài khô cá sặc,20,10,gemini-3.1-flash-lite-preview_estimate
300,Salad đậu cô ve,25,15,gemini-3.1-flash-lite-preview_estimate
301,Mì lạnh,40,20,gemini-3.1-flash-lite-preview_estimate
302,Gỏi trái cóc,120,15,gemini-3.1-flash-lite-preview_estimate
303,Salad khoai tây trộn bê thui,20,15,gemini-3.1-flash-lite-preview_estimate
304,Gà trộn gừng chua ngọt,30,25,gemini-3.1-flash-lite-preview_estimate
305,Gỏi mực chiên,20,10,gemini-3.1-flash-lite-preview_estimate
306,Gỏi đu đủ,30,15,gemini-3.1-flash-lite-preview_estimate
307,Salad trộn kiểu Nhật,15,5,gemini-3.1-flash-lite-preview_estimate
308,Salad bắp trộn tôm,20,15,gemini-3.1-flash-lite-preview_estimate
309,Gỏi nghêu bông thiên lý,30,20,gemini-3.1-flash-lite-preview_estimate
310,Salad bắp cải xốt mè,15,5,gemini-3.1-flash-lite-preview_estimate
311,Gỏi bò lá chanh,30,15,gemini-3.1-flash-lite-preview_estimate
312,Gỏi nấm bào ngư,35,20,gemini-3.1-flash-lite-preview_estimate
313,Rong biển trộn nấm tuyết,20,10,gemini-3.1-flash-lite-preview_estimate
314,Salad đậu,20,25,gemini-3.1-flash-lite-preview_estimate
315,Salad mực phổ tai,25,15,gemini-3.1-flash-lite-preview_estimate
316,Bông cải trộn tôm,20,15,gemini-3.1-flash-lite-preview_estimate
317,Gỏi đu đủ thịt bò áp chảo,25,10,gemini-3.1-flash-lite-preview_estimate
318,Gỏi nha đam,20,10,gemini-3.1-flash-lite-preview_estimate
319,Rau càng cua trộn dầu giấm,20,15,gemini-3.1-flash-lite-preview_estimate
320,Tôm chiên xốt Mayo,15,10,gemini-3.1-flash-lite-preview_estimate
321,Nui hải sản cho ngày tình yêu,20,20,gemini-3.1-flash-lite-preview_estimate
322,Cuốn nấm dưa gừng,30,15,gemini-3.1-flash-lite-preview_estimate
323,Chả giò thanh cua mayo,20,15,gemini-3.1-flash-lite-preview_estimate
324,Phở xào giòn,25,20,gemini-3.1-flash-lite-preview_estimate
325,Cá hồi ngâm nước tương,15,10,gemini-3.1-flash-lite-preview_estimate
326,Canh cá dưa cải,20,20,gemini-3.1-flash-lite-preview_estimate
327,Salad cá hồi trộn bông cải trắng,25,15,gemini-3.1-flash-lite-preview_estimate
328,SÚP RAU CHÙM NGÂY ĐẬU HỦ NON,20,25,gemini-3.1-flash-lite-preview_estimate
329,Miến xào cua măng tây,25,15,gemini-3.1-flash-lite-preview_estimate
330,Ốc hương xóc xốt trứng muối,20,10,gemini-3.1-flash-lite-preview_estimate
331,Bánh mì sandwich nướng phô mai,15,6,gemini-3.1-flash-lite-preview_estimate
332,Khoai tây nướng phô mai,15,15,gemini-3.1-flash-lite-preview_estimate
333,Bánh xèo Nhật Bản,20,10,gemini-3.1-flash-lite-preview_estimate
334,NẤM LỘC NHUNG KHO TIÊU XANH ĂN VỚI CHÁO ĐẬU ĐỎ (chay),30,40,gemini-3.1-flash-lite-preview_estimate
335,GYOZA DÙNG NỒI CHIÊN KHÔNG DẦU ĂN KÈM RAU CỦ SẤY,15,16,gemini-3.1-flash-lite-preview_estimate
336,Bánh hẹ,10,12,gemini-3.1-flash-lite-preview_estimate
337,Cơm chiên tôm thơm,15,10,gemini-3.1-flash-lite-preview_estimate
338,THỊT HEO CHIÊN GIÒN VỊ CÀ RI,20,15,gemini-3.1-flash-lite-preview_estimate
339,Salad cá hồi trái cây nhiệt đới,15,10,gemini-3.1-flash-lite-preview_estimate
340,Pancake Trứng và Bacon,10,20,gemini-3.1-flash-lite-preview_estimate
341,HOÀNH THÁNH TÁ LẢ,20,15,gemini-3.1-flash-lite-preview_estimate
342,SÚP GÀ BÍ ĐỎ,25,20,gemini-3.1-flash-lite-preview_estimate
343,Cơm thịt xào cay,10,10,gemini-3.1-flash-lite-preview_estimate
344,Nấm và hành tây chiên giòn,15,10,gemini-3.1-flash-lite-preview_estimate
345,Thịt heo chiên xù Tonkatsu,20,15,gemini-3.1-flash-lite-preview_estimate
346,CHẢ GIÒ NGŨ VỊ,45,20,gemini-3.1-flash-lite-preview_estimate
347,Cơm cháy mỡ hành,10,10,gemini-3.1-flash-lite-preview_estimate
348,BÁNH MÌ CHẢO,20,15,gemini-3.1-flash-lite-preview_estimate
349,ĐẬU HŨ XỐT CAY XÈ,15,15,gemini-3.1-flash-lite-preview_estimate
350,Nui ngũ sắc,20,25,gemini-3.1-flash-lite-preview_estimate
351,Cơm trộn Vetula,15,30,gemini-3.1-flash-lite-preview_estimate
352,Snack rong biển thanh cua,10,5,gemini-3.1-flash-lite-preview_estimate
353,BÁNH TRÁNG CUỐN THỊT BĂM,20,15,gemini-3.1-flash-lite-preview_estimate
354,MÌ TRỘN GYOZA,15,20,gemini-3.1-flash-lite-preview_estimate
355,MÌ XÀO BÒ,15,15,gemini-3.1-flash-lite-preview_estimate
356,CƠM TÔM TRỨNG MUỐI,65,10,gemini-3.1-flash-lite-preview_estimate
357,SALAD GÀ ÁP CHẢO,20,15,gemini-3.1-flash-lite-preview_estimate
358,RONG BIỂN CUỘN CHIÊN XÙ,30,10,gemini-3.1-flash-lite-preview_estimate
359,SANDWICH TRỨNG NƯỚNG,10,15,gemini-3.1-flash-lite-preview_estimate
360,Mì ý cá hồi xốt mè rang,15,20,gemini-3.1-flash-lite-preview_estimate
361,Bún gạo xào gà,25,15,gemini-3.1-flash-lite-preview_estimate
362,Bánh mì áp chảo,10,5,gemini-3.1-flash-lite-preview_estimate
363,Sandwiches bò xốt mè rang,20,10,gemini-3.1-flash-lite-preview_estimate
364,Gyoza mì phô mai,2,5,gemini-3.1-flash-lite-preview_estimate
365,Cuộn trứng mayo,15,10,gemini-3.1-flash-lite-preview_estimate
366,Bánh mì xíu mại,25,30,gemini-3.1-flash-lite-preview_estimate
367,Canh bóng nấu thả,40,20,gemini-3.1-flash-lite-preview_estimate
368,Mì trộn tôm trứng mayonnaise,20,15,gemini-3.1-flash-lite-preview_estimate
369,Há cảo tam sắc,30,20,gemini-3.1-flash-lite-preview_estimate
370,Bánh rán phô mai trứng muối,10,10,gemini-3.1-flash-lite-preview_estimate
371,Miến trộn bò bằm,20,15,gemini-3.1-flash-lite-preview_estimate
372,Bún giò heo cay,25,60,gemini-3.1-flash-lite-preview_estimate
373,Bánh canh cua phồng tôm,80,30,gemini-3.1-flash-lite-preview_estimate
374,Gyoza,15,6,gemini-3.1-flash-lite-preview_estimate
375,Bánh bông lan bơ hành,30,25,gemini-3.1-flash-lite-preview_estimate
376,Phở tái lăn,25,20,gemini-3.1-flash-lite-preview_estimate
377,Bánh rán burger bò,25,15,gemini-3.1-flash-lite-preview_estimate
378,Bún thang,40,60,gemini-3.1-flash-lite-preview_estimate
379,Bún riêu cua bắp bò,20,15,gemini-3.1-flash-lite-preview_estimate
380,Cupcake trứng muối chà bông phô mai,30,40,gemini-3.1-flash-lite-preview_estimate
381,Hotdog bắp cải,15,15,gemini-3.1-flash-lite-preview_estimate
382,Tôm xốt sữa,20,15,gemini-3.1-flash-lite-preview_estimate
383,Bún riêu cua,30,45,gemini-3.1-flash-lite-preview_estimate
384,Pancake xốt đậu gà,20,15,gemini-3.1-flash-lite-preview_estimate
385,Bò áp chảo sốt tiêu,15,15,gemini-3.1-flash-lite-preview_estimate
386,Bánh crepe nhân mặn,15,20,gemini-3.1-flash-lite-preview_estimate
387,Bánh rán kẹp cá ngừ mayonnaise,20,15,gemini-3.1-flash-lite-preview_estimate
388,Bánh mì hạnh nhân,15,10,gemini-3.1-flash-lite-preview_estimate
389,Sandwich nóng phô mai thịt nguội,15,25,gemini-3.1-flash-lite-preview_estimate
390,Pancake trứng khuấy,10,15,gemini-3.1-flash-lite-preview_estimate
391,Sandwich trứng cút mayonnaise,20,15,gemini-3.1-flash-lite-preview_estimate
392,Pancake sắc màu,15,15,gemini-3.1-flash-lite-preview_estimate
393,Bún bò bắp cải chua,25,30,gemini-3.1-flash-lite-preview_estimate
394,Cơm chiên dưa bò,20,15,gemini-3.1-flash-lite-preview_estimate
395,Pancake hoa cúc,20,15,gemini-3.1-flash-lite-preview_estimate
396,Bún mắm,45,40,gemini-3.1-flash-lite-preview_estimate
397,Bánh rán trái cây,15,20,gemini-3.1-flash-lite-preview_estimate
398,Pancake jambon trứng cút,20,15,gemini-3.1-flash-lite-preview_estimate
399,Xôi xá xíu,120,60,gemini-3.1-flash-lite-preview_estimate
400,Sake chiên giòn 2 vị,15,20,gemini-3.1-flash-lite-preview_estimate
401,Phở trộn,20,15,gemini-3.1-flash-lite-preview_estimate
402,Bún sườn non nấu chuối đậu,30,35,gemini-3.1-flash-lite-preview_estimate
403,Brulee trà sữa,25,45,gemini-3.1-flash-lite-preview_estimate
404,Bò bít tết,40,20,gemini-3.1-flash-lite-preview_estimate
