id,recipe_name,description,image_url,prep_time,cook_time,servings,difficulty,created_by,status,created_at,updated_at,calories
80,Gỏi cuốn tôm,"Gỏi cuốn tôm truyền thống Việt Nam bao gồm tôm, bún và rau sống tươi ngon, màu sắc hấp dẫn, món ăn thanh mát, dễ thưởng thức và phù hợp mọi thứ tuổi.",https://monngonmoingay.com/wp-content/uploads/2024/01/goi-cuon-5.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),210
81,Cơm gạo lứt trộn,"Cơm gạo lứt trộn cà rốt, bắp mỹ, đậu Pháp và nấm đông cô tươi, món ăn ngon, giàu dinh dưỡng, thích hợp cho chị em ăn kiêng mà vẫn giữ được hương vị hấp dẫn.",https://monngonmoingay.com/wp-content/uploads/2024/01/com-gao-lut-5.jpg,0,30,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),243
82,Salad táo với hạt óc chó,"Salad táo hạt óc chó giữ độ giòn, xốt mayo phủ đều, màu sắc tự nhiên, vị ngọt béo, thơm hạt óc chó rang, món salad mới lạ, tươi mát, tốt cho sức khỏe.",https://monngonmoingay.com/wp-content/uploads/2023/12/salad-tao-va-hat-oc-cho-5.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),420
83,Gỏi cá kiểu Nhật,"Món gỏi cá là món ăn đã rất quen thuộc đối với người Việt Nam. Nhưng hôm nay, Món Ngon Mỗi Ngày xin giới thiệu công thức món gỏi cá mới mang phong cách hương",https://monngonmoingay.com/wp-content/uploads/2023/12/goi-ca-hap-kieu-nhat-5.jpg,0,15,1,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),415
84,Salad khoai tây trứng cút,"Món salad khoai tây trứng cút chua béo hài, rau củ trộn đều sốt. Màu sắc hấp dẫn bởi sự kết hợp của các loại rau củ. Món ăn ngon khi nấu phải đảm bảo vị vừa",https://monngonmoingay.com/wp-content/uploads/2023/12/salad-khoai-tay-5.jpg,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),343
85,Cải ngồng trộn gà xé,"Gỏi cải ngồng trộn gà xé, màu xanh cải ngồng, vàng hoa cải, đỏ ớt, sốt mayonnaise bóng mướt, món gỏi bắt mắt, hấp dẫn, ai nhìn cũng muốn nếm thử ngay.",https://monngonmoingay.com/wp-content/uploads/2015/08/cai-ngong-tron-ga-xe-5.jpg,0,15,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),160
86,Gỏi gà hoa súng,"Cọng súng, rau dưa giòn tươi mát, thấm vị.",https://monngonmoingay.com/wp-content/uploads/2023/11/goi-ga-hoa-sung-5.jpg,0,25,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),363
87,Miến trộn kiểu Thái,"Món miến trộn kiểu Thái mới lạ hấp dẫn với màu cam nhẹ, miến thấm gia vị, ăn dai dai, vị chua ngọt hài hoà đặc trưng hương vị của đất nước chùa vàng. Đổi vị",https://monngonmoingay.com/wp-content/uploads/2023/11/mien-tron-kieu-thai-5.jpg,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),643
88,Salad mực măng tây,"Salad mực măng tây tươi xanh, cà chua đỏ, mực vàng giòn, vị chua nhẹ của xốt, măng tây và mực giòn ngọt, món khai vị lạ miệng cho bữa tiệc hoặc bữa cơm.",https://monngonmoingay.com/wp-content/uploads/2023/09/salad-muc-mang-tay-500.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),355
89,Salad cam đậu đỏ,"Món salad cam đậu đỏ chỉ nhìn thôi đã như bữa tiệc màu sắc khó cưỡng, đến khi thưởng thức: Vị béo của xốt Mayonnaise Aji-Mayo® trộn lẫn với đậu đỏ bùi bùi,",https://monngonmoingay.com/wp-content/uploads/2018/08/salad-cam-dau-do-500-min.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),413
90,Snack phồng tôm rau củ,Snack phồng tôm rau củ giòn giòn hoà quyện với vị rau củ thơm ngon tươi mát lại béo béo sốt mayonnaise thơm ngon hấp dẫn cả gia đình cuối tuần này luôn nha,https://monngonmoingay.com/wp-content/uploads/2023/06/snack-phong-tom-rau-cu.png,0,15,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),321
91,Gỏi xoài tôm sả,"Gỏi xoài tôm sả chua ngọt béo nhẹ hài hòa. Màu sắc hấp dẫn với sự kết hợp màu vàng của xoài, màu hồng của nước sốt và nổi bật của xiên tôm cháy vàng ửng đỏ.",https://monngonmoingay.com/wp-content/uploads/2023/04/goi-xoai-tom-sa.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),612
92,Salad bò rau má,Salad bò rau má món ngon tươi mát với thịt bò mềm kết hợp với rau má. Món salad hấp dẫn với màu sắc hài hòa từ màu xanh của rau má cùng với màu nâu của thịt,https://cookbeo.com/media/2021/02/salad-rau-mam/salad-rau-mam.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),280
93,Tôm chua trộn cóc xanh mayo,"Tôm chua trộn cóc xanh món ăn mới lạ cuối tuần dành cho cả nhà đây mẹ! Cóc và tai heo ăn giòn giòn, thấm vị. Màu sắc sinh động của món rau trộn, hấp dẫn cả",https://monngonmoingay.com/wp-content/uploads/2023/03/tom-chua-tron-coc-xanh.jpg,0,10,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),211
94,Gỏi xoài cá trê,"Gỏi xoài cá trê là món ăn rất quen thuộc của bà con vùng đồng bằng Nam bộ, ngon và hấp dẫn, rất dễ thực hiện. Cùng vào bếp làm ngay món ngon miền Nam ngon",https://i.ytimg.com/vi/Q2fu_ph2GcE/maxresdefault.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),245
95,Salad cam tình yêu,"Món salad với tôm chín sém, salad giòn, xốt sánh mịn, màu xốt cam nhẹ, màu salad và tôm, khi ăn vị béo thơm mùi cam, salad mát. Cùng người yêu thương vào bếp",https://monngonmoingay.com/wp-content/uploads/2023/02/salad-cam-tinh-yeu-500.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),280
96,Salad ổi,"Món salad ổi ngon bởi sự kết hợp của ổi với các nguyên liệu khác, và xốt Aji mayo tạo ra món ăn salad thật đặc sắc, mới lạ, hơn nữa sự kết hợp của mè và đường",https://monngonmoingay.com/wp-content/uploads/2015/08/salad-oi.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),288
97,Ếch xé phay trộn rau mầm,"Món trộn phối hợp ăn ý giữa thịt ếch dai ngọt, thơm lừng mùi sả và rau mầm tươi mát, cay cay, hăng nhẹ, thấm xốt chua mặn ngọt, vị kích thích. Ngon hết ý, ăn",https://monngonmoingay.com/wp-content/uploads/2022/10/ech-xe-phay-tron-rau-mam.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),420
98,Mì trộn xốt mayonnaise,"Cùng thực hiện ngay món mì trộn xốt mayonnaise với sợi mì xào dai dai, áo xốt bóng bẩy; thịt béo mềm, đậm đà; rau củ ngọt giòn, thơm hành phi. Ngon như ý!",https://monngonmoingay.com/wp-content/uploads/2022/06/mi-tron-xot-mayonaise-1024x202.jpg,0,35,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),463
99,Salad cua táo xanh,"Món salad cua táo xanh vị ngọt từ thịt cua cùng với độ giòn của táo và mùi thơm của nước tắc với củ thì là, vị chua thanh của táo sốt và thơm cay nhẹ khi kết",https://monngonmoingay.com/wp-content/uploads/2022/06/salad-cua-tao-xanh-1024x202.jpg,0,10,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),2638
100,Bắp cải tím trộn tôm,"Ngoài các loại rau để làm salad thông thường, bạn có thể dùng bắp cải tím thái mỏng để chế biến thành những món khai vị hấp dẫn. Thế nhưng, thái mỏng thôi",https://monngonmoingay.com/wp-content/uploads/2015/08/bap-cai-tim-tron-tom-1024x202.jpg,0,25,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),81
101,Salad rong nho,"Món salad rong nho này có nguyên liệu chính là rong nho- một loài rong biển quý, hiếm và có giá trị dinh dưỡng cao, có tác dụng kháng khuẩn, nhuận trường và",https://monngonmoingay.com/wp-content/uploads/2015/08/salad-rong-nho-1024x202.jpg,0,25,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),79
102,Salad tôm thanh mát,"Món salad tôm thanh mát được chế biến từ những nguyên liệu tươi mát và giòn ngọt tự nhiên. Món salad hấp dẫn bởi màu vàng của bắp, đỏ tôm và màu xanh của rau.",https://monngonmoingay.com/wp-content/uploads/2022/04/cocktail-tom-thanh-mat-1024x202.jpg,0,25,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),538
103,Nộm lưỡi lợn su hào,Hôm nay mẹ làm món nộm lưỡi lợn cho ba nhăm nhi ngày cuối năm nha. Lưỡi lợn sựt sựt ngọt kết hợp với su hào giòn giòn đảm bảo ba sẽ khen mẹ khéo tay ngay nha!,https://monngonmoingay.com/wp-content/uploads/2022/01/nom-luoi-heo-su-hao-1024x202.jpg,0,15,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),463
104,Gỏi rau má tai heo,"Rau má thơm mát, thanh thanh. Tai heo dai giòn, thấm vị chua ngọt, mằn mặn, hài hòa cùng xốt Mayonnaise Aji-mayo beo béo. Ăn cực đã! Thử ngay món gỏi rau má",https://monngonmoingay.com/wp-content/uploads/2022/01/goi-tai-heo-rau-ma-1024x202.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),355
105,Gỏi hoa chuối thịt gà chay,"Là món ăn chay có vị chua, mặn, ngọt rất hài hòa, lại giàu chất xơ nên rất tốt cho tiêu hóa, giúp cho tinh thần thoải mái, cuộc sống cân bằng hơn.",https://monngonmoingay.com/wp-content/uploads/2022/01/goi-hoa-chuoi-thit-ga-chay-1024x202.png,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),313
106,Cơm gạo lức trộn rau củ,"Nhiều người thường nghĩ các món chay nhàm chán vì khá đơn điệu. Tuy nhiên, nếu biết cách kết hợp và chế biến, đôi khi món chay còn hấp dẫn hơn các món mặn nữa",https://monngonmoingay.com/wp-content/uploads/2017/03/com-gao-luc-tron-rau-cu-1024x202.webp,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),463
107,Măng trộn tôm thịt,"Món măng trộn tôm thịt với vị chua ngọt, bắt miệng lại dễ làm, rất thích hợp khi làm món khai vị. Cùng Món Ngon Mỗi Ngày vào bếp thôi nào!",https://monngonmoingay.com/wp-content/uploads/2008/04/mang-tron-tom-thit-1024x202.webp,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),245
108,Salad trái thơm mayo,"Món khai vị mà tất cả các thực khách đều sẽ thích mê vì vừa tươi ngon, vừa đẹp mắt đây mẹ ơi! Ghi chú ngay công thức của Món Ngon Mỗi Ngày mẹ nhé!",https://monngonmoingay.com/wp-content/uploads/2021/01/salad-trai-thom-mayo-1-1024x202.webp,0,10,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),246
109,Salad mực phổ tai,"Miếng mực áp chảo xem xém, săn chắc, thơm lừng mùi sa tế quyện với xốt trộn beo béo, chua nhẹ. Phổ tai và rau củ giòn giòn tươi mát, ăn tới đâu là bừng tỉnh",https://monngonmoingay.com/wp-content/uploads/2021/08/salad-muc-pho-tai-1024x202.webp,0,10,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),171
110,Salad mùa hè,Ngày hè mà ăn salad trái cây thì tuyệt cú mèo luôn nha. Nhìn màu sắc hài hòa tự nhiên của các loại trái cây cũng đã thấy tươi mát chứ chưa nói đến ăn!,https://monngonmoingay.com/wp-content/uploads/2021/07/salad-mua-he-1024x202.jpg,0,5,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),161
111,Salad bắp tôm,"Bắp vàng điểm chút đỏ tôm, rau xanh ngọt giòn tươi mát. Kết hợp vị nồng thơm của mù tạt hạt, chua chua beo béo của xốt Mayonnaise Aji-mayo®, tròn vị ngất",https://monngonmoingay.com/wp-content/uploads/2021/07/salad-bap-tom-1024x202.jpg,0,10,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),211
